path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_run_20260626_154207.jsonl,744,2026-06-26T15:42:08.264189+00:00,True,1,0
logs\live_run_20260626_154438.jsonl,744,2026-06-26T15:44:39.732222+00:00,True,1,0
logs\live_run_20260626_154518.jsonl,744,2026-06-26T15:45:19.363473+00:00,True,1,0
logs\live_run_20260626_160027.jsonl,744,2026-06-26T16:00:28.258228+00:00,True,1,0
logs\live_run_20260626_160655.jsonl,744,2026-06-26T16:06:55.561856+00:00,True,1,0
logs\live_run_20260626_162032.jsonl,744,2026-06-26T16:20:32.880939+00:00,True,1,0
logs\live_run_20260626_173259.jsonl,744,2026-06-26T17:33:00.479842+00:00,True,1,0
logs\live_run_20260626_174240.jsonl,744,2026-06-26T17:42:41.098997+00:00,True,1,0
logs\live_run_20260626_174449.jsonl,744,2026-06-26T17:44:50.412826+00:00,True,1,0
logs\live_run_20260626_180026.jsonl,744,2026-06-26T18:00:27.530833+00:00,True,1,0
logs\live_run_20260626_180713.jsonl,744,2026-06-26T18:07:14.639457+00:00,True,1,0
logs\live_run_20260626_180755.jsonl,744,2026-06-26T18:07:56.219826+00:00,True,1,0
logs\live_run_20260626_182110.jsonl,743,2026-06-26T18:21:11.310113+00:00,True,1,0
logs\live_run_20260626_183045.jsonl,743,2026-06-26T18:30:45.654702+00:00,True,1,0
logs\live_run_20260626_183112.jsonl,743,2026-06-26T18:31:13.022658+00:00,True,1,0
logs\live_run_20260626_183609.jsonl,743,2026-06-26T18:36:10.335413+00:00,True,1,0
logs\live_run_20260626_183716.jsonl,743,2026-06-26T18:37:17.090990+00:00,True,1,0
logs\live_run_20260626_184855.jsonl,744,2026-06-26T18:48:56.402175+00:00,True,1,0
logs\live_run_20260626_185659.jsonl,743,2026-06-26T18:57:00.143686+00:00,True,1,0
logs\live_run_20260626_191307.jsonl,744,2026-06-26T19:13:08.727586+00:00,True,1,0
logs\live_run_20260626_192414.jsonl,744,2026-06-26T19:24:14.988741+00:00,True,1,0
logs\live_run_20260626_192706.jsonl,744,2026-06-26T19:27:07.348530+00:00,True,1,0
logs\live_run_20260626_192941.jsonl,591746,2026-06-26T19:34:12.787058+00:00,True,205,0
logs\live_run_20260626_193417.jsonl,591745,2026-06-26T19:34:18.174507+00:00,True,205,0
logs\live_run_20260626_193421.jsonl,591144,2026-06-26T19:34:23.163713+00:00,True,205,0
logs\live_run_20260626_193426.jsonl,592347,2026-06-26T19:34:27.287833+00:00,True,205,0
logs\live_run_20260626_193430.jsonl,592347,2026-06-26T19:34:32.029635+00:00,True,205,0
logs\live_run_20260626_193435.jsonl,592347,2026-06-26T19:34:36.534509+00:00,True,205,0
