ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,time_setup_iso,time_done_iso,time_setup_msc_iso,time_done_msc_iso
1086306,1782500403,1782500403431,1782500403,1782500403442,0,0,0,1,4,10181,1086306,0,3,0.1,0.0,0.0,0.0,0.0,4074.82,0.0,XAUUSD,profit_harvester,3LJ7NGSAYGJKE,2026-06-26T19:00:03+00:00,2026-06-26T19:00:03+00:00,2026-06-26T19:00:03.431000+00:00,2026-06-26T19:00:03.442000+00:00
1090283,1782500628,1782500628061,1782500628,1782500628074,0,1,0,1,4,10181,1086306,0,3,0.1,0.0,0.0,0.0,0.0,4075.39,0.0,XAUUSD,profit_harvester,3LJ7NNDHIYP6J,2026-06-26T19:03:48+00:00,2026-06-26T19:03:48+00:00,2026-06-26T19:03:48.061000+00:00,2026-06-26T19:03:48.074000+00:00
1093775,1782500888,1782500888369,1782500888,1782500888383,0,1,0,1,4,0,1093775,0,0,0.5,0.0,0.0,0.0,0.0,59.0323,0.0,XAGUSD,,3LJ7NUVVCVC5Z,2026-06-26T19:08:08+00:00,2026-06-26T19:08:08+00:00,2026-06-26T19:08:08.369000+00:00,2026-06-26T19:08:08.383000+00:00
1101136,1782501413,1782501413837,1782501413,1782501413851,0,0,0,1,4,10181,1101136,0,3,0.1,0.0,0.0,0.0,0.0,4074.555,0.0,XAUUSD,profit_harvester,3LJ7OE7BJAU7J,2026-06-26T19:16:53+00:00,2026-06-26T19:16:53+00:00,2026-06-26T19:16:53.837000+00:00,2026-06-26T19:16:53.851000+00:00
1103039,1782501500,1782501500753,1782501500,1782501500767,0,1,0,1,4,10181,1101136,0,3,0.1,0.0,0.0,0.0,0.0,4075.085,0.0,XAUUSD,profit_harvester,3LJ7OGQ7SP3O7,2026-06-26T19:18:20+00:00,2026-06-26T19:18:20+00:00,2026-06-26T19:18:20.753000+00:00,2026-06-26T19:18:20.767000+00:00
1103048,1782501501,1782501501378,1782501501,1782501501392,0,0,0,1,4,0,1093775,0,0,0.5,0.0,0.0,0.0,0.0,59.1053,0.0,XAGUSD,,3LJ7OGQSGLAZ4,2026-06-26T19:18:21+00:00,2026-06-26T19:18:21+00:00,2026-06-26T19:18:21.378000+00:00,2026-06-26T19:18:21.392000+00:00
1103590,1782501546,1782501546773,1782501546,1782501546785,0,1,0,1,4,0,1103590,0,0,0.5,0.0,0.0,0.0,0.0,59.0361,0.0,XAGUSD,,3LJ7OI33ATD73,2026-06-26T19:19:06+00:00,2026-06-26T19:19:06+00:00,2026-06-26T19:19:06.773000+00:00,2026-06-26T19:19:06.785000+00:00
1103703,1782501574,1782501574970,1782501574,1782501574983,0,0,0,1,4,0,1103590,0,0,0.5,0.0,0.0,0.0,0.0,59.0333,0.0,XAGUSD,,3LJ7OIVDLW5NO,2026-06-26T19:19:34+00:00,2026-06-26T19:19:34+00:00,2026-06-26T19:19:34.970000+00:00,2026-06-26T19:19:34.983000+00:00
1104339,1782501632,1782501632715,1782501632,1782501632728,0,1,0,1,4,0,1104339,0,0,0.5,0.0,0.0,0.0,0.0,4072.74,0.0,XAUUSD,,3LJ7OKL4JY6WO,2026-06-26T19:20:32+00:00,2026-06-26T19:20:32+00:00,2026-06-26T19:20:32.715000+00:00,2026-06-26T19:20:32.728000+00:00
1104347,1782501639,1782501639414,1782501639,1782501639427,0,0,0,1,4,0,1104339,0,0,0.5,0.0,0.0,0.0,0.0,4072.94,0.0,XAUUSD,,3LJ7OKRE763ND,2026-06-26T19:20:39+00:00,2026-06-26T19:20:39+00:00,2026-06-26T19:20:39.414000+00:00,2026-06-26T19:20:39.427000+00:00
1104536,1782501655,1782501655966,1782501655,1782501655979,0,1,0,1,4,0,1104536,0,0,0.5,0.0,0.0,0.0,0.0,4072.38,0.0,XAUUSD,,3LJ7OLARHPTTR,2026-06-26T19:20:55+00:00,2026-06-26T19:20:55+00:00,2026-06-26T19:20:55.966000+00:00,2026-06-26T19:20:55.979000+00:00
1104652,1782501664,1782501664832,1782501664,1782501664844,0,0,0,1,4,0,1104536,0,0,0.5,0.0,0.0,0.0,0.0,4072.12,0.0,XAUUSD,,3LJ7OLIZP3C5T,2026-06-26T19:21:04+00:00,2026-06-26T19:21:04+00:00,2026-06-26T19:21:04.832000+00:00,2026-06-26T19:21:04.844000+00:00
1105895,1782501743,1782501743801,1782501743,1782501743814,0,0,0,1,4,0,1105895,0,0,0.5,0.0,0.0,0.0,0.0,4072.965,0.0,XAUUSD,,3LJ7ONSL6NPLI,2026-06-26T19:22:23+00:00,2026-06-26T19:22:23+00:00,2026-06-26T19:22:23.801000+00:00,2026-06-26T19:22:23.814000+00:00
